name,category,match_type,value,source,mode,scope,evidence_level,support,confidence,notes,alias_group,tier,enabled_by_default,specificity,expected_frequency,recommended_action
CF:massbank_MSBNK-AAFC-AC000007_312_287,CF,peak_mz,312.287,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,AAL toxin TB; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M+H]+,peak_mz:312.2850,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000008_56_0502,CF,peak_mz,56.0502,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,AAL toxin TB; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:56.0500,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000008_57_0706,CF,peak_mz,57.0706,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,AAL toxin TB; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:57.0700,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000008_60_045,CF,peak_mz,60.045,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,AAL toxin TB; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:60.0450,extended,True,medium,medium,keep
NL:massbank_MSBNK-AAFC-AC000011,NL,mass_diff,22.9887,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,AAL toxin TB; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+Na]+,mass_diff:22.9900,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000011_528_3143,CF,peak_mz,528.3143,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,AAL toxin TB; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+Na]+,peak_mz:528.3150,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000012_352_282,CF,peak_mz,352.282,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,AAL toxin TB; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M+Na]+,peak_mz:352.2800,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000013_199_0213,CF,peak_mz,199.0213,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,AAL toxin TB; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+Na]+,peak_mz:199.0200,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000014_282_2037,CF,peak_mz,282.2037,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,AAL toxin TB; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+Na]+,peak_mz:282.2050,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000015_64_9781,CF,peak_mz,64.9781,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,AAL toxin TB; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,peak_mz:64.9800,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000015_81_0699,CF,peak_mz,81.0699,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,AAL toxin TB; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,peak_mz:81.0700,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000016_313_0707,CF,peak_mz,313.0707,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B1; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+H]+,peak_mz:313.0700,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000018_284_0679,CF,peak_mz,284.0679,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B1; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:284.0700,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000018_285_0757,CF,peak_mz,285.0757,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B1; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:285.0750,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000019_257_0808,CF,peak_mz,257.0808,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B1; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+H]+,peak_mz:257.0800,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000019_270_0523,CF,peak_mz,270.0523,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B1; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+H]+,peak_mz:270.0500,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000020_173_0961,CF,peak_mz,173.0961,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B1; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,peak_mz:173.0950,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000020_186_0675,CF,peak_mz,186.0675,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B1; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,peak_mz:186.0700,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000020_187_0754,CF,peak_mz,187.0754,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B1; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,peak_mz:187.0750,extended,True,medium,medium,keep
NL:massbank_MSBNK-AAFC-AC000021,NL,mass_diff,22.9886,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B1; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+Na]+,mass_diff:22.9900,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000021_335_0526,CF,peak_mz,335.0526,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B1; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+Na]+,peak_mz:335.0550,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000024_306_0499,CF,peak_mz,306.0499,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B1; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+Na]+,peak_mz:306.0500,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000025_129_6869,CF,peak_mz,129.6869,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B1; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,peak_mz:129.6850,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000025_291_0264,CF,peak_mz,291.0264,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B1; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,peak_mz:291.0250,extended,True,medium,medium,keep
NL:massbank_MSBNK-AAFC-AC000026,NL,mass_diff,1.0068,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B2; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M+H]+,mass_diff:1.0050,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000026_315_0863,CF,peak_mz,315.0863,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B2; LC-ESI-ITFT; MS2; CE: 20; R=17500; [M+H]+,peak_mz:315.0850,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000027_287_0914,CF,peak_mz,287.0914,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B2; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:287.0900,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000028_259_0601,CF,peak_mz,259.0601,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B2; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+H]+,peak_mz:259.0600,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000028_297_0757,CF,peak_mz,297.0757,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B2; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+H]+,peak_mz:297.0750,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000029_203_0703,CF,peak_mz,203.0703,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B2; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,peak_mz:203.0700,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000029_213_091,CF,peak_mz,213.091,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B2; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,peak_mz:213.0900,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000029_217_0495,CF,peak_mz,217.0495,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B2; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,peak_mz:217.0500,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000030_337_0682,CF,peak_mz,337.0682,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B2; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+Na]+,peak_mz:337.0700,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000031_54_9536,CF,peak_mz,54.9536,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B2; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,peak_mz:54.9550,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000031_64_9778,CF,peak_mz,64.9778,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B2; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,peak_mz:64.9800,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000031_73_9265,CF,peak_mz,73.9265,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin B2; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,peak_mz:73.9250,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000032_243_0652,CF,peak_mz,243.0652,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G1; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:243.0650,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000032_283_0601,CF,peak_mz,283.0601,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G1; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:283.0600,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000032_311_055,CF,peak_mz,311.055,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G1; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:311.0550,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000033_215_0703,CF,peak_mz,215.0703,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G1; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+H]+,peak_mz:215.0700,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000034_185_0597,CF,peak_mz,185.0597,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G1; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,peak_mz:185.0600,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000034_197_0597,CF,peak_mz,197.0597,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G1; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,peak_mz:197.0600,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000034_199_0754,CF,peak_mz,199.0754,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G1; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,peak_mz:199.0750,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000035_351_0475,CF,peak_mz,351.0475,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G1; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+Na]+,peak_mz:351.0500,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000036_307_0213,CF,peak_mz,307.0213,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G1; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+Na]+,peak_mz:307.0200,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000036_322_0448,CF,peak_mz,322.0448,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G1; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+Na]+,peak_mz:322.0450,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000036_336_024,CF,peak_mz,336.024,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G1; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+Na]+,peak_mz:336.0250,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000037_90_9768,CF,peak_mz,90.9768,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G1; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,peak_mz:90.9750,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000037_209_0444,CF,peak_mz,209.0444,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G1; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,peak_mz:209.0450,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000037_263_0315,CF,peak_mz,263.0315,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G1; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,peak_mz:263.0300,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000038_331_0812,CF,peak_mz,331.0812,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G2; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:331.0800,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000039_245_0808,CF,peak_mz,245.0808,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G2; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+H]+,peak_mz:245.0800,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000039_303_0863,CF,peak_mz,303.0863,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G2; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+H]+,peak_mz:303.0850,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000040_189_0546,CF,peak_mz,189.0546,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G2; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,peak_mz:189.0550,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000041_353_0632,CF,peak_mz,353.0632,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G2; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+Na]+,peak_mz:353.0650,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000043_220_1767,CF,peak_mz,220.1767,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin G2; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,peak_mz:220.1750,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000044_273_0757,CF,peak_mz,273.0757,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin M1; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:273.0750,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000045_255_0652,CF,peak_mz,255.0652,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin M1; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+H]+,peak_mz:255.0650,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000045_258_0523,CF,peak_mz,258.0523,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin M1; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+H]+,peak_mz:258.0500,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000046_202_0624,CF,peak_mz,202.0624,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin M1; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,peak_mz:202.0600,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000046_213_0546,CF,peak_mz,213.0546,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin M1; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,peak_mz:213.0550,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000048_323_0526,CF,peak_mz,323.0526,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin M1; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+Na]+,peak_mz:323.0550,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000049_55_9867,CF,peak_mz,55.9867,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin M1; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,peak_mz:55.9850,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000049_56_6885,CF,peak_mz,56.6885,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin M1; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,peak_mz:56.6900,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000049_63_6633,CF,peak_mz,63.6633,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Aflatoxin M1; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+Na]+,peak_mz:63.6650,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000050_182_0812,CF,peak_mz,182.0812,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,alpha-Cyclopiazonic acid; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+H]+,peak_mz:182.0800,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000050_196_1121,CF,peak_mz,196.1121,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,alpha-Cyclopiazonic acid; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+H]+,peak_mz:196.1100,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000050_337_1547,CF,peak_mz,337.1547,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,alpha-Cyclopiazonic acid; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+H]+,peak_mz:337.1550,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000052_98_06,CF,peak_mz,98.06,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,alpha-Cyclopiazonic acid; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:98.0600,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000052_140_0706,CF,peak_mz,140.0706,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,alpha-Cyclopiazonic acid; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:140.0700,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000054_70_0651,CF,peak_mz,70.0651,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,alpha-Cyclopiazonic acid; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,peak_mz:70.0650,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000054_125_0233,CF,peak_mz,125.0233,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,alpha-Cyclopiazonic acid; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,peak_mz:125.0250,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000055_229_0859,CF,peak_mz,229.0859,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Altenuene; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+H]+,peak_mz:229.0850,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000055_231_1016,CF,peak_mz,231.1016,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Altenuene; LC-ESI-ITFT; MS2; CE: 10; R=17500; [M+H]+,peak_mz:231.1000,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000057_69_0335,CF,peak_mz,69.0335,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Altenuene; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:69.0350,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000057_201_091,CF,peak_mz,201.091,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Altenuene; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:201.0900,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000057_203_1067,CF,peak_mz,203.1067,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Altenuene; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:203.1050,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000058_169_0648,CF,peak_mz,169.0648,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Altenuene; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+H]+,peak_mz:169.0650,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000058_191_1067,CF,peak_mz,191.1067,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Altenuene; LC-ESI-ITFT; MS2; CE: 35; R=17500; [M+H]+,peak_mz:191.1050,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000059_141_0699,CF,peak_mz,141.0699,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Altenuene; LC-ESI-ITFT; MS2; CE: 45; R=17500; [M+H]+,peak_mz:141.0700,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000059_152_0621,CF,peak_mz,152.0621,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Altenuene; LC-ESI-ITFT; MS2; CE: 45; R=17500; [M+H]+,peak_mz:152.0600,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000062_241_0495,CF,peak_mz,241.0495,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Alternariol; LC-ESI-ITFT; MS2; CE: 40; R=17500; [M+H]+,peak_mz:241.0500,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000065_175_0754,CF,peak_mz,175.0754,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Alternariol methyl ether; LC-ESI-ITFT; MS2; CE: 50; R=17500; [M+H]+,peak_mz:175.0750,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000068_151_039,CF,peak_mz,151.039,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Altersolanol A; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:151.0400,extended,True,medium,medium,keep
CF:massbank_MSBNK-AAFC-AC000068_217_0859,CF,peak_mz,217.0859,MassBank record-derived,positive,Natural Product; Fungal metabolite,medium,1,observed,Altersolanol A; LC-ESI-ITFT; MS2; CE: 30; R=17500; [M+H]+,peak_mz:217.0850,extended,True,medium,medium,keep
